name,school_name
Analytics,School of Computer Science and Engineering (SCOPE)
Architecture,School of Architecture (V-SPARC)
Automotive Engineering,School of Mechanical Engineering (SMEC)
Bio - Medical Sciences,School of Bio Sciences & Technology (SBST)
Bio - Sciences,School of Bio Sciences & Technology (SBST)
Biotechnology,School of Bio Sciences & Technology (SBST)
Chemical Engineering,School of Chemical Engineering (SCHEME)
Chemistry,School of Advanced Sciences (SAS)
Communication Engineering,School of Electronics Engineering (SENSE)
Computational Intelligence,School of Computer Science and Engineering (SCOPE)
Computer Application,School of Computer Science Engineering and Information Systems (SCORE)
Control & Automation,School of Electrical Engineering (SELECT)
Database Systems,School of Computer Science and Engineering (SCOPE)
Department of Instrumentation,School of Electrical Engineering (SELECT)
Design,VIT School of Design (V-SIGN)
Design and Automation,School of Mechanical Engineering (SMEC)
Electrical Engineering,School of Electrical Engineering (SELECT)
Embedded Technology,School of Electronics Engineering (SENSE)
Energy and Power Electronics,School of Electrical Engineering (SELECT)
English,School of Social Sciences and Languages (SSL)
Healthcare Science and Technology,School of Healthcare Science and Engineering (SHINE)
Information Security,School of Computer Science and Engineering (SCOPE)
Information Technology,School of Computer Science Engineering and Information Systems (SCORE)
IoT,School of Computer Science and Engineering (SCOPE)
Languages,School of Social Sciences and Languages (SSL)
Manufacturing Engineering,School of Mechanical Engineering (SMEC)
Marketing,VIT Business School (VIT BS)
Mathematics,School of Advanced Sciences (SAS)
Micro & Nanoelectronics,School of Electronics Engineering (SENSE)
Multimedia,"VIT School of Media, Arts and Technology (V-SMART)"
Physics,School of Advanced Sciences (SAS)
Quantum AI,School of Computer Science and Engineering (SCOPE)
Sensor and Biomedical Technology,School of Electronics Engineering (SENSE)
Smart Computing,School of Computer Science Engineering and Information Systems (SCORE)
Social Sciences,School of Social Sciences and Languages (SSL)
Software Systems,School of Computer Science and Engineering (SCOPE)
Structural Geotechnical Engineering,School of Civil Engineering (SCE)
Thermal & Energy Engineering,School of Mechanical Engineering (SMEC)
